"id","name","description","compliance_control_ids/name","compliance_control_ids/description","compliance_control_ids/id","compliance_version_id/id"
"","","","9.2 Use DNS Filtering Services","<p>
Use DNS filtering services on all enterprise assets to block access to known malicious domains.

<br></p>","__export__.compliance_control_1709_5ac1c0b8",""
"","","","9.3 Maintain and Enforce Network-Based URL Filters","<p>
Enforce and update network-based URL filters to limit an enterprise asset from connecting to potentially malicious 
or unapproved websites. Example implementations include category-based filtering, reputation-based filtering, or 
through the use of block lists. Enforce filters for all enterprise assets.

<br></p>","__export__.compliance_control_1710_91993135",""
"","","","9.4 Restrict Unnecessary or Unauthorized Browser and Email  Client Extensions","<p>
Restrict, either through uninstalling or disabling, any unauthorized or unnecessary browser or email client plugins, 
extensions, and add-on applications.


<br></p>","__export__.compliance_control_1711_ba40cce3",""
"","","","9.5 Implement DMARC","<p>
To lower the chance of spoofed or modified emails from valid domains, implement DMARC policy and 
verification, starting with implementing the Sender Policy Framework (SPF) and the DomainKeys Identified Mail 
(DKIM) standards.

<br></p>","__export__.compliance_control_1712_1422cd26",""
"","","","9.6 Block Unnecessary File Types","<p>
Block unnecessary file types attempting to enter the enterprise’s email gateway.


<br></p>","__export__.compliance_control_1713_0905c954",""
"","","","9.7 Deploy and Maintain Email Server Anti-Malware Protections","<p>
Deploy and maintain email server anti-malware protections, such as attachment scanning and/or sandboxing.

<br></p>","__export__.compliance_control_1714_3e9a6a91",""
"__export__.compliance_control_objective_421_6f5e6cdf","10. Malware  Defenses","<p>
Prevent or control the installation, spread, and execution of 
malicious applications, code, or scripts on enterprise assets.

<br></p>","10.1 Deploy and Maintain Anti-Malware Software","<p>
Deploy and maintain anti-malware software on all enterprise assets.


<br></p>","__export__.compliance_control_1715_295b1477","__export__.compliance_version_9_96aba02e"
"","","","10.2 Configure Automatic Anti-Malware Signature Updates","<p>
Configure automatic updates for anti-malware signature files on all enterprise assets.


<br></p>","__export__.compliance_control_1716_565eec13",""
"","","","10.3 Disable Autorun and Autoplay for Removable Media","<p>
Disable autorun and autoplay auto-execute functionality for removable media. 


<br></p>","__export__.compliance_control_1717_249f5e4c",""
"","","","10.4 Configure Automatic Anti-Malware Scanning of  Removable Media","<p>
Configure anti-malware software to automatically scan removable media.


<br></p>","__export__.compliance_control_1718_48728379",""
"","","","10.5 Enable Anti-Exploitation Features","<p>
Enable anti-exploitation features on enterprise assets and software, where possible, such as Microsoft® Data 
Execution Prevention (DEP), Windows® Defender Exploit Guard (WDEG), or Apple® System Integrity Protection (SIP) 
and Gatekeeper.<br></p>","__export__.compliance_control_1719_c838a326",""
"","","","10.6 Centrally Manage Anti-Malware Software","<p>
Centrally manage anti-malware software.


<br></p>","__export__.compliance_control_1720_7169360f",""
"","","","10.7 Use Behavior-Based Anti-Malware Software","<p>
Use behavior-based anti-malware software.

<br></p>","__export__.compliance_control_1721_ea9c08bf",""
"__export__.compliance_control_objective_422_56ec969e","11. Data Recovery","<p>
Establish and maintain data recovery practices sufficient 
to restore in-scope enterprise assets to a pre-incident and 
trusted state.

<br></p>","11.1 Establish and Maintain a Data Recovery Process","<p>
Establish and maintain a data recovery process. In the process, address the scope of data recovery activities, 
recovery prioritization, and the security of backup data. Review and update documentation annually, or when 
significant enterprise changes occur that could impact this Safeguard. 

<br></p>","__export__.compliance_control_1722_c26bf08a","__export__.compliance_version_9_96aba02e"
"","","","11.2 Perform Automated Backups","<p>
Perform automated backups of in-scope enterprise assets. Run backups weekly, or more frequently, based on the 
sensitivity of the data.

<br></p>","__export__.compliance_control_1723_a2154d59",""
"","","","11.3 Protect Recovery Data","<p>
Protect recovery data with equivalent controls to the original data. Reference encryption or data separation, based on 
requirements.

<br></p>","__export__.compliance_control_1724_d39a1193",""
"","","","11.4 Establish and Maintain an Isolated Instance of Recovery Data","<p>
Establish and maintain an isolated instance of recovery data. Example implementations include version controlling 
backup destinations through offline, cloud, or off-site systems or services.<br></p>","__export__.compliance_control_1725_d35391c9",""
"","","","11.5 Test Data Recovery","<p>
Test backup recovery quarterly, or more frequently, for a sampling of in-scope enterprise assets.

<br></p>","__export__.compliance_control_1726_b5f8d2e9",""
"__export__.compliance_control_objective_423_529b9aab","12. Network Infrastructure  Management","<p>
Establish, implement, and actively manage (track, report, correct) 
network devices, in order to prevent attackers from exploiting 
vulnerable network services and access points.

<br></p>","12.1 Ensure Network Infrastructure is Up-to-Date","<p>
Ensure network infrastructure is kept up-to-date. Example implementations include running the latest stable release 
of software and/or using currently supported network-as-a-service (NaaS) offerings. Review software versions 
monthly, or more frequently, to verify software support. 

<br></p>","__export__.compliance_control_1727_d75d4f40","__export__.compliance_version_9_96aba02e"
"","","","12.2 Establish and Maintain a Secure Network Architecture","<p>
Establish and maintain a secure network architecture. A secure network architecture must address segmentation, 
least privilege, and availability, at a minimum. 

<br></p>","__export__.compliance_control_1728_8df931d8",""
"","","","12.3 Securely Manage Network Infrastructure","<p>
Securely manage network infrastructure. Example implementations include version-controlled-infrastructure-ascode, and the use of secure network protocols, such as SSH and HTTPS. 

<br></p>","__export__.compliance_control_1729_217308b6",""
"","","","12.4 Establish and Maintain Architecture Diagram(s)","<p>
Establish and maintain architecture diagram(s) and/or other network system documentation. Review and update 
documentation annually, or when significant enterprise changes occur that could impact this Safeguard.

<br></p>","__export__.compliance_control_1730_3e3eff85",""
"","","","12.5 Centralize Network Authentication, Authorization, and  Auditing (AAA)","<p>
Centralize network AAA.

<br></p>","__export__.compliance_control_1731_ee074c08",""
"","","","12.6 Use of Secure Network Management and  Communication Protocols","<p>
Use secure network management and communication protocols (e.g., 802.1X, Wi-Fi Protected Access 2 (WPA2) 
Enterprise or greater).

<br></p>","__export__.compliance_control_1732_ae39705a",""
"","","","12.7 Ensure Remote Devices Utilize a VPN and are Connecting to an  Enterprise’s AAA Infrastructure","<p>

Require users to authenticate to enterprise-managed VPN and authentication services prior to accessing enterprise 
resources on end-user devices.&nbsp;<br></p>","__export__.compliance_control_1733_9de6f517",""
"","","","12.8 Establish and Maintain Dedicated Computing Resources for All  Administrative Work","<p>
Establish and maintain dedicated computing resources, either physically or logically separated, for all administrative 
tasks or tasks requiring administrative access. The computing resources should be segmented from the enterprise’s 
primary network and not be allowed internet access.


<br></p>","__export__.compliance_control_1734_2a42caba",""
"__export__.compliance_control_objective_424_774a579d","13. Network Monitoring  and Defense","<p>
Operate processes and tooling to establish and maintain 
comprehensive network monitoring and defense against 
security threats across the enterprise’s network infrastructure 
and user base.

<br></p>","13.1 Centralize Security Event Alerting","<p>
Centralize security event alerting across enterprise assets for log correlation and analysis. Best practice 
implementation requires the use of a SIEM, which includes vendor-defined event correlation alerts. A log analytics 
platform configured with security-relevant correlation alerts also satisfies this Safeguard.

<br></p>","__export__.compliance_control_1735_7daf6e1a","__export__.compliance_version_9_96aba02e"
"","","","13.2 Deploy a Host-Based Intrusion Detection Solution","<p>
Deploy a host-based intrusion detection solution on enterprise assets, where appropriate and/or supported.


<br></p>","__export__.compliance_control_1736_d408615c",""
"","","","13.3 Deploy a Network Intrusion Detection Solution","<p>
Deploy a network intrusion detection solution on enterprise assets, where appropriate. Example implementations 
include the use of a Network Intrusion Detection System (NIDS) or equivalent cloud service provider (CSP) service.<br></p>","__export__.compliance_control_1737_4099db45",""
"","","","13.4 Perform Traffic Filtering Between Network Segments","<p>
Perform traffic filtering between network segments, where appropriate.

<br></p>","__export__.compliance_control_1738_c43b2579",""
"","","","13.5 Manage Access Control for Remote Assets","<p>
Manage access control for assets remotely connecting to enterprise resources. Determine amount of access to 
enterprise resources based on: up-to-date anti-malware software installed, configuration compliance with the 
enterprise’s secure configuration process, and ensuring the operating system and applications are up-to-date.

<br></p>","__export__.compliance_control_1739_1ef2d784",""
"","","","13.6 Collect Network Traffic Flow Logs","<p>
Collect network traffic flow logs and/or network traffic to review and alert upon from network devices. 


<br></p>","__export__.compliance_control_1740_34d4064e",""
"","","","13.7 Deploy a Host-Based Intrusion Prevention Solution","<p>
Deploy a host-based intrusion prevention solution on enterprise assets, where appropriate and/or supported. 
Example implementations include use of an Endpoint Detection and Response (EDR) client or host-based IPS agent.<br></p>","__export__.compliance_control_1741_34bee2cd",""
"","","","13.8 Deploy a Network Intrusion Prevention Solution","<p>
Deploy a network intrusion prevention solution, where appropriate. Example implementations include the use of a 
Network Intrusion Prevention System (NIPS) or equivalent CSP service.

<br></p>","__export__.compliance_control_1742_468a0441",""
"","","","13.9 Deploy Port-Level Access Control","<p>
Deploy port-level access control. Port-level access control utilizes 802.1x, or similar network access control 
protocols, such as certificates, and may incorporate user and/or device authentication.

<br></p>","__export__.compliance_control_1743_0d7248ff",""
"","","","13.10 Perform Application Layer Filtering","<p>
Perform application layer filtering. Example implementations include a filtering proxy, application layer 
firewall, or gateway.

<br></p>","__export__.compliance_control_1744_28a72b3d",""
"","","","13.11 Tune Security Event Alerting Thresholds","<p>
Tune security event alerting thresholds monthly, or more frequently.<br></p>","__export__.compliance_control_1745_56583b9d",""
"__export__.compliance_control_objective_425_dc4cb5a5","14. Security Awareness  and Skills Training","<p>
Establish and maintain a security awareness program to 
influence behavior among the workforce to be security 
conscious and properly skilled to reduce cybersecurity risks to 
the enterprise.

<br></p>","14.1 Establish and Maintain a Security Awareness Program","<p>
Establish and maintain a security awareness program. The purpose of a security awareness program is to educate 
the enterprise’s workforce on how to interact with enterprise assets and data in a secure manner. Conduct training at 
hire and, at a minimum, annually. Review and update content annually, or when significant enterprise changes occur 
that could impact this Safeguard.

<br></p>","__export__.compliance_control_1746_24b24d76","__export__.compliance_version_9_96aba02e"
"","","","14.2 Train Workforce Members to Recognize Social  Engineering Attacks","<p>
Train workforce members to recognize social engineering attacks, such as phishing, pre-texting, and tailgating.<br></p>","__export__.compliance_control_1747_37d20500",""
"","","","14.3 Train Workforce Members on Authentication Best Practices","<p>
Train workforce members on authentication best practices. Example topics include MFA, password composition, and 
credential management.

<br></p>","__export__.compliance_control_1748_7a7321c3",""
"","","","14.4 Train Workforce on Data Handling Best Practices","<p>
Train workforce members on how to identify and properly store, transfer, archive, and destroy sensitive data. This 
also includes training workforce members on clear screen and desk best practices, such as locking their screen 
when they step away from their enterprise asset, erasing physical and virtual whiteboards at the end of meetings, 
and storing data and assets securely.


<br></p>","__export__.compliance_control_1749_aba4317d",""
"","","","14.5 Train Workforce Members on Causes of Unintentional  Data Exposure","<p>
Train workforce members to be aware of causes for unintentional data exposure. Example topics include mis-delivery 
of sensitive data, losing a portable end-user device, or publishing data to unintended audiences.

<br></p>","__export__.compliance_control_1750_5c383262",""
"","","","14.6 Train Workforce Members on Recognizing and Reporting  Security Incidents","<p>
Train workforce members to be able to recognize a potential incident and be able to report such an incident.&nbsp;


<br></p>","__export__.compliance_control_1751_7f0efdd5",""
"","","","14.7 Train Workforce on How to Identify and Report if Their Enterprise  Assets are Missing Security Updates","<p>
Train workforce to understand how to verify and report out-of-date software patches or any failures in automated 
processes and tools. Part of this training should include notifying IT personnel of any failures in automated 
processes and tools.<br></p>","__export__.compliance_control_1752_9985b9b9",""
"","","","14.8 Train Workforce on the Dangers of Connecting to and  Transmitting Enterprise Data Over Insecure Networks","<p>
Train workforce members on the dangers of connecting to, and transmitting data over, insecure networks for 
enterprise activities. If the enterprise has remote workers, training must include guidance to ensure that all users 
securely configure their home network infrastructure.

<br></p>","__export__.compliance_control_1753_d635c488",""
"","","","14.9 Conduct Role-Specific Security Awareness and Skills Training","<p>
Conduct role-specific security awareness and skills training. Example implementations include secure system 
administration courses for IT professionals, OWASP® Top 10 vulnerability awareness and prevention training for web 
application developers, and advanced social engineering awareness training for high-profile roles.


<br></p>","__export__.compliance_control_1754_81638b46",""
"__export__.compliance_control_objective_426_925b0aa8","15. Service Provider  Management","<p>
Develop a process to evaluate service providers who hold 
sensitive data, or are responsible for an enterprise’s critical IT 
platforms or processes, to ensure these providers are protecting 
those platforms and data appropriately.

<br></p>","15.1 Establish and Maintain an Inventory of Service Providers","<p>
Establish and maintain an inventory of service providers. The inventory is to list all known service providers, include 
classification(s), and designate an enterprise contact for each service provider. Review and update the inventory 
annually, or when significant enterprise changes occur that could impact this Safeguard. 

<br></p>","__export__.compliance_control_1755_e3d21f56","__export__.compliance_version_9_96aba02e"
"","","","15.2 Establish and Maintain a Service Provider Management Policy","<p>
Establish and maintain a service provider management policy. Ensure the policy addresses the classification, 
inventory, assessment, monitoring, and decommissioning of service providers. Review and update the policy 
annually, or when significant enterprise changes occur that could impact this Safeguard.

<br></p>","__export__.compliance_control_1756_890700e8",""
"","","","15.3 Classify Service Providers","<p>
Classify service providers. Classification consideration may include one or more characteristics, such as data 
sensitivity, data volume, availability requirements, applicable regulations, inherent risk, and mitigated risk. Update 
and review classifications annually, or when significant enterprise changes occur that could impact this Safeguard.


<br></p>","__export__.compliance_control_1757_99083f06",""
"","","","15.4 Ensure Service Provider Contracts Include Security  Requirements","<p>
Ensure service provider contracts include security requirements. Example requirements may include minimum 
security program requirements, security incident and/or data breach notification and response, data encryption 
requirements, and data disposal commitments. These security requirements must be consistent with the enterprise’s 
service provider management policy. Review service provider contracts annually to ensure contracts are not missing 
security requirements.

<br></p>","__export__.compliance_control_1758_fc2ae15a",""
"","","","15.5 Assess Service Providers","<p>
Assess service providers consistent with the enterprise’s service provider management policy. Assessment scope 
may vary based on classification(s), and may include review of standardized assessment reports, such as Service 
Organization Control 2 (SOC 2) and Payment Card Industry (PCI) Attestation of Compliance (AoC), customized 
questionnaires, or other appropriately rigorous processes. Reassess service providers annually, at a minimum, or 
with new and renewed contracts.<br></p>","__export__.compliance_control_1759_58e14e5d",""
"","","","15.6 Monitor Service Providers","<p>
Monitor service providers consistent with the enterprise’s service provider management policy. Monitoring may 
include periodic reassessment of service provider compliance, monitoring service provider release notes, and dark 
web monitoring.

<br></p>","__export__.compliance_control_1760_5cfc73e6",""
"","","","15.7 Securely Decommission Service Providers","<p>
Securely decommission service providers. Example considerations include user and service account deactivation, 
termination of data flows, and secure disposal of enterprise data within service provider systems.


<br></p>","__export__.compliance_control_1761_5a37471d",""
"__export__.compliance_control_objective_427_a87c4b11","16. Application Software  Security","<p>
Manage the security life cycle of in-house developed, hosted, 
or acquired software to prevent, detect, and remediate security 
weaknesses before they can impact the enterprise.

<br></p>","16.1 Establish and Maintain a Secure Application  Development Process","<p>
Establish and maintain a secure application development process. In the process, address such items as: secure 
application design standards, secure coding practices, developer training, vulnerability management, security of 
third-party code, and application security testing procedures. Review and update documentation annually, or when 
significant enterprise changes occur that could impact this Safeguard. 

<br></p>","__export__.compliance_control_1762_233cf423","__export__.compliance_version_9_96aba02e"
"","","","16.2 Establish and Maintain a Process to Accept and Address  Software Vulnerabilities","<p>
Establish and maintain a process to accept and address reports of software vulnerabilities, including providing 
a means for external entities to report.&nbsp;The process is to include such items as: a vulnerability handling policy 
that identifies reporting process, responsible party for handling vulnerability reports, and a process for intake, 
assignment, remediation, and remediation testing.&nbsp;As part of the process, use a vulnerability tracking system 
that includes severity ratings, and metrics for measuring timing for identification, analysis, and remediation of 
vulnerabilities.&nbsp;Review and update documentation annually, or when significant enterprise changes occur that could 
impact this Safeguard.
Third-party application developers need to consider this an externally-facing policy that helps to set expectations for 
outside stakeholders. 

<br></p>","__export__.compliance_control_1763_5a01f310",""
"","","","16.3 Perform Root Cause Analysis on Security Vulnerabilities","<p>
Perform root cause analysis on security vulnerabilities. When reviewing vulnerabilities, root cause analysis is the task 
of evaluating underlying issues that create vulnerabilities in code, and allows development teams to move beyond 
just fixing individual vulnerabilities as they arise.<br></p>","__export__.compliance_control_1764_4ac6b061",""
"","","","16.4 Establish and Manage an Inventory of Third-Party  Software Components","<p>
Establish and manage an updated inventory of third-party components used in development, often referred to as 
a “bill of materials,” as well as components slated for future use.&nbsp;This inventory is to include any risks that each 
third-party component could pose.&nbsp;Evaluate the list at least monthly to identify any changes or updates to these 
components, and validate that the component is still supported.

<br></p>","__export__.compliance_control_1765_0a7bcb13",""
"","","","16.5 Use Up-to-Date and Trusted Third-Party Software Components","<p>
Use up-to-date and trusted third-party software components. When possible, choose established and proven 
frameworks and libraries that provide adequate security.&nbsp;Acquire these components from trusted sources or evaluate 
the software for vulnerabilities before use.

<br></p>","__export__.compliance_control_1766_4be5e6a0",""
"","","","16.6 Establish and Maintain a Severity Rating System and Process for  Application Vulnerabilities","<p>
Establish and maintain a severity rating system and process for application vulnerabilities that facilitates prioritizing 
the order in which discovered vulnerabilities are fixed. This process includes setting a minimum level of security 
acceptability for releasing code or applications. Severity ratings bring a systematic way of triaging vulnerabilities that 
improves risk management and helps ensure the most severe bugs are fixed first. Review and update the system and 
process annually.

<br></p>","__export__.compliance_control_1767_09ac8d61",""
"","","","16.7 Use Standard Hardening Configuration Templates for Application  Infrastructure","<p>
Use standard, industry-recommended hardening configuration templates for application infrastructure components. 
This includes underlying servers, databases, and web servers, and applies to cloud containers, Platform as 
a Service (PaaS) components, and SaaS components. Do not allow in-house developed software to weaken 
configuration hardening.<br></p>","__export__.compliance_control_1768_d22259bc",""
"","","","16.8 Separate Production and Non-Production Systems","<p>
Maintain separate environments for production and non-production systems. 

<br></p>","__export__.compliance_control_1769_9c6b01f6",""
"","","","16.9 Train Developers in Application Security Concepts and  Secure Coding","<p>
Ensure that all software development personnel receive training in writing secure code for their specific development 
environment and responsibilities. Training can include general security principles and application security standard 
practices. Conduct training at least annually and design in a way to promote security within the development team, 
and build a culture of security among the developers.<br></p>","__export__.compliance_control_1770_06d3dcb1",""
"","","","16.10 Apply Secure Design Principles in Application Architectures","<p>
Apply secure design principles in application architectures. Secure design principles include the concept of least 
privilege and enforcing mediation to validate every operation that the user makes, promoting the concept of “never 
trust user input.” Examples include ensuring that explicit error checking is performed and documented for all input, 
including for size, data type, and acceptable ranges or formats. Secure design also means minimizing the application 
infrastructure attack surface, such as turning off unprotected ports and services, removing unnecessary programs 
and files, and renaming or removing default accounts.

<br></p>","__export__.compliance_control_1771_ba198ebd",""
"","","","16.11 Leverage Vetted Modules or Services for Application  Security Components","<p>
Leverage vetted modules or services for application security components, such as identity management, encryption, 
and auditing and logging. Using platform features in critical security functions will reduce developers’ workload and 
minimize the likelihood of design or implementation errors. Modern operating systems provide effective mechanisms 
for identification, authentication, and authorization and make those mechanisms available to applications. Use only 
standardized, currently accepted, and extensively reviewed encryption algorithms. Operating systems also provide 
mechanisms to create and maintain secure audit logs.

<br></p>","__export__.compliance_control_1772_08e5d8c9",""
"","","","16.12 Implement Code-Level Security Checks","<p>
Apply static and dynamic analysis tools within the application life cycle to verify that secure coding practices are 
being followed.

<br></p>","__export__.compliance_control_1773_16d9bba4",""
"","","","16.13 Conduct Application Penetration Testing","<p>
Conduct application penetration testing. For critical applications, authenticated penetration testing is better suited to 
finding business logic vulnerabilities than code scanning and automated security testing.&nbsp;Penetration testing relies 
on the skill of the tester to manually manipulate an application as an authenticated and unauthenticated user.&nbsp;

<br></p>","__export__.compliance_control_1774_cb2234e0",""
"","","","16.14 Conduct Threat Modeling","<p>
Conduct threat modeling. Threat modeling is the process of identifying and addressing application security design 
flaws within a design, before code is created. It is conducted through specially trained individuals who evaluate 
the application design and gauge security risks for each entry point and access level. The goal is to map out the 
application, architecture, and infrastructure in a structured way to understand its weaknesses.<br></p>","__export__.compliance_control_1775_61ab3530",""
"__export__.compliance_control_objective_428_2b6a2c7a","17. Incident Response  Management","<p>
Establish a program to develop and maintain an incident 
response capability (e.g., policies, plans, procedures, defined 
roles, training, and communications) to prepare, detect, and 
quickly respond to an attack.<br></p>","17.1 Designate Personnel to Manage Incident Handling","<p>
Designate one key person, and at least one backup, who will manage the enterprise’s incident handling process. 
Management personnel are responsible for the coordination and documentation of incident response and recovery 
efforts and can consist of employees internal to the enterprise, third-party vendors, or a hybrid approach. If using a 
third-party vendor, designate at least one person internal to the enterprise to oversee any third-party work. Review 
annually, or when significant enterprise changes occur that could impact this Safeguard.

<br></p>","__export__.compliance_control_1776_f53ca964","__export__.compliance_version_9_96aba02e"
"","","","17.2 Establish and Maintain Contact Information for Reporting  Security Incidents","<p>
Establish and maintain contact information for parties that need to be informed of security incidents. Contacts 
may include internal staff, third-party vendors, law enforcement, cyber insurance providers, relevant government 
agencies, Information Sharing and Analysis Center (ISAC) partners, or other stakeholders. Verify contacts annually to 
ensure that information is up-to-date.

<br></p>","__export__.compliance_control_1777_08aa5635",""
"","","","17.3 Establish and Maintain an Enterprise Process for  Reporting Incidents","<p>
Establish and maintain an enterprise process for the workforce to report security incidents. The process includes 
reporting timeframe, personnel to report to, mechanism for reporting, and the minimum information to be reported. 
Ensure the process is publicly available to all of the workforce. Review annually, or when significant enterprise 
changes occur that could impact this Safeguard.


<br></p>","__export__.compliance_control_1778_f3083206",""
"","","","17.4 Establish and Maintain an Incident Response Process","<p>
Establish and maintain an incident response process that addresses roles and responsibilities, compliance 
requirements, and a communication plan. Review annually, or when significant enterprise changes occur that could 
impact this Safeguard.<br></p>","__export__.compliance_control_1779_3ff13be2",""
"","","","17.5 Assign Key Roles and Responsibilities","<p>
Assign key roles and responsibilities for incident response, including staff from legal, IT, information security, 
facilities, public relations, human resources, incident responders, and analysts, as applicable. Review annually, or 
when significant enterprise changes occur that could impact this Safeguard.<br></p>","__export__.compliance_control_1780_1b89b059",""
"","","","17.6 Define Mechanisms for Communicating During  Incident Response","<p>
Determine which primary and secondary mechanisms will be used to communicate and report during a security 
incident. Mechanisms can include phone calls, emails, or letters. Keep in mind that certain mechanisms, such as 
emails, can be affected during a security incident. Review annually, or when significant enterprise changes occur that 
could impact this Safeguard.

<br></p>","__export__.compliance_control_1781_ab06afc3",""
"","","","17.7 Conduct Routine Incident Response Exercises","<p>
Plan and conduct routine incident response exercises and scenarios for key personnel involved in the incident 
response process to prepare for responding to real-world incidents. Exercises need to test communication channels, 
decision-making, and workflows. Conduct testing on an annual basis, at a minimum.

<br></p>","__export__.compliance_control_1782_e933610f",""
"","","","17.8 Conduct Post-Incident Reviews","<p>
Conduct post-incident reviews. Post-incident reviews help prevent incident recurrence through identifying lessons 
learned and follow-up action.<br></p>","__export__.compliance_control_1783_de76c019",""
"","","","17.9 Establish and Maintain Security Incident Thresholds","<p>
Establish and maintain security incident thresholds, including, at a minimum, differentiating between an incident and 
an event. Examples can include: abnormal activity, security vulnerability, security weakness, data breach, privacy 
incident, etc. Review annually, or when significant enterprise changes occur that could impact this Safeguard.


<br></p>","__export__.compliance_control_1784_4dab36a0",""
"__export__.compliance_control_objective_429_55644b83","18. Penetration Testing","<p>
Test the effectiveness and resiliency of enterprise assets through 
identifying and exploiting weaknesses in controls (people, 
processes, and technology), and simulating the objectives and 
actions of an attacker.

<br></p>","18.1 Establish and Maintain a Penetration Testing Program","<p>
Establish and maintain a penetration testing program appropriate to the size, complexity, and maturity of the 
enterprise. Penetration testing program characteristics include scope, such as network, web application, Application 
Programming Interface (API), hosted services, and physical premise controls; frequency; limitations, such as 
acceptable hours, and excluded attack types; point of contact information; remediation, such as how findings will be 
routed internally; and retrospective requirements.<br></p>","__export__.compliance_control_1785_6ecbf095","__export__.compliance_version_9_96aba02e"
"","","","18.2 Perform Periodic External Penetration Tests","<p>
Perform periodic external penetration tests based on program requirements, no less than annually. External 
penetration testing must include enterprise and environmental reconnaissance to detect exploitable information. 
Penetration testing requires specialized skills and experience and must be conducted through a qualified party. The 
testing may be clear box or opaque box.

<br></p>","__export__.compliance_control_1786_e3fee40f",""
"","","","18.3 Remediate Penetration Test Findings","<p>
Remediate penetration test findings based on the enterprise’s policy for remediation scope and prioritization.


<br></p>","__export__.compliance_control_1787_d3303fac",""
"","","","18.4 Validate Security Measures","<p>
Validate security measures after each penetration test. If deemed necessary, modify rulesets and capabilities to 
detect the techniques used during testing.

<br></p>","__export__.compliance_control_1788_2b72341e",""
"","","","18.5 Perform Periodic Internal Penetration Tests","<p>
Perform periodic internal penetration tests based on program requirements, no less than annually. The testing may 
be clear box or opaque box.<br></p>","__export__.compliance_control_1789_fab1efe5",""
"__export__.compliance_control_objective_430_7842bb23","Identify","<p>Develop an organizational understanding to manage cybersecurity risk to
systems, people, assets, data, and capabilities. The activities in the Identify Function are foundational for effective use of the
Framework. Understanding the business context, the resources that support critical
functions, and the related cybersecurity risks enables an organization to focus and
prioritize its efforts, consistent with its risk management strategy and business needs.
Examples of outcome Categories within this Function include: Asset Management;
Business Environment; Governance; Risk Assessment; and Risk Management Strategy.<br></p>","Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.","<ul><li>
ID.AM-1: Physical devices and systems
within the organization are inventoried.&nbsp;</li><li>ID.AM-2: Software platforms and
applications within the organization are
inventoried.</li><li>
ID.AM-3: Organizational communication
and data flows are mapped.<br></li><li>
ID.AM-4: External information systems
are catalogued.</li><li>
ID.AM-5: Resources (e.g., hardware,
devices, data, time, personnel, and
software) are prioritized based on their
classification, criticality, and business
value.<br></li><li>
ID.AM-6: Cybersecurity roles and
responsibilities for the entire workforce and&nbsp;
third-party stakeholders (e.g., suppliers,
customers, partners) are established.</li></ul>","__export__.compliance_control_1790_1c290874","__export__.compliance_version_12_adf9d678"
"","","","Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.","<ul><li>
ID.BE-1: The organization’s role in the
supply chain is identified and
communicated.</li><li>
ID.BE-2: The organization’s place in
critical infrastructure and its industry sector
is identified and communicated.</li><li>
ID.BE-3: Priorities for organizational
mission, objectives, and activities are
established and communicated.</li><li>
ID.BE-4: Dependencies and critical
functions for delivery of critical services
are established.</li><li>
ID.BE-5: Resilience requirements to
support delivery of critical services are
established for all operating states (e.g.
under duress/attack, during recovery,
normal operations).&nbsp;<br></li></ul>","__export__.compliance_control_1791_3a6c3d03",""
"","","","Governance (ID.GV): The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk..","<ul><li>
ID.GV-1: Organizational cybersecurity
policy is established and communicated.</li><li>
ID.GV-2: Cybersecurity roles and
responsibilities are coordinated and aligned
with internal roles and external partners.</li><li>
ID.GV-3: Legal and regulatory
requirements regarding cybersecurity,
including privacy and civil liberties
obligations, are understood and managed.</li><li>
ID.GV-4: Governance and risk
management processes address
cybersecurity risks.&nbsp;<br></li></ul>","__export__.compliance_control_1792_78d51b35",""
"","","","Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.","<ul><li>
ID.RA-1: Asset vulnerabilities are
identified and documented.</li><li>
ID.RA-2: Cyber threat intelligence is
received from information sharing forums
and sources.</li><li>
ID.RA-3: Threats, both internal and
external, are identified and documented.</li><li>
ID.RA-4: Potential business impacts and
likelihoods are identified.</li><li>
ID.RA-5: Threats, vulnerabilities,
likelihoods, and impacts are used to
determine risk.</li><li>
ID.RA-6: Risk responses are identified and
prioritized.<br></li></ul>","__export__.compliance_control_1793_a5011a32",""
"","","","Risk Management Strategy (ID.RM): The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions..","<ul><li>
ID.RM-1: Risk management processes are
established, managed, and agreed to by
organizational stakeholders.</li><li>
ID.RM-2: Organizational risk tolerance is
determined and clearly expressed.</li><li>
ID.RM-3: The organization’s
determination of risk tolerance is informed
by its role in critical infrastructure and
sector specific risk analysis.<br></li></ul>","__export__.compliance_control_1794_72efe5f5",""
